"row_number","ingredient_description","recipeIngredient","optional","substitutions?"
577,"1 bunch kale (stems removed and sliced into ribbons)","kale",,
578,"kimchi","kimchi",,
579,"2 Tbsp kimchi (finely chopped (optional))","kimchi",TRUE,
580,"kohlrabi","kohlrabi",,
581,"1/3 cup Korean red pepper powder","Korean red pepper powder",,
582,"2 tsp Korean salted shrimp (finely chopped (optional))","Korean salted shrimp",TRUE,
583,"3  leeks (sliced into circles)","leeks",,
584,"lemon balm leaves","lemon balm leaves",,
585,"1 Tbsp lemongrass (finely chopped)","lemongrass",,
586,"slices lemon","lemons",,
587,"2 to 3 slices lemon or lime","lemons",,
588,"1  lemon","lemons",,
589,"1/2  lemon ((zested and juiced  or a whole lime or equivalent of orange works))","lemons",,
590,"1  lemon (juiced)","lemons",,
591,"1  lemon (zested)","lemons",,
592,"1/2  lemon (juiced)","lemons",,
593,"1   lemon (juiced)","lemons",,
594,"1/2  lemon (zested (optional))","lemons",TRUE,
595,"1  lemon (zested and juiced)","lemons",,
596,"1 tsp lemon juice","lemons",,
597,"1 Tbsp lemon juice","lemons",,
598,"lemon juice","lemons",,
599,"2 tsp lemon juice","lemons",,
600,"lemon juice (to taste)","lemons",,
601,"lemon juice (to squeeze over top)","lemons",,
602,"2 Tbsp  lemon juice, lime juice, or vinegar","lemons",,
603,"lemon zest","lemons",,
604,"1 tsp lemon zest ((optional))","lemons",TRUE,
605,"4 cups cooked lentils","lentils",,
606,"3 cups lentils or beans (cooked)","lentils",,
607,"lettuce","lettuce",,
608,"4 cups lettuce (chopped)","lettuce",,
609,"1 cup lettuce (roughly chopped)","lettuce",,
610,"lettuce (shredded (to taste))","lettuce",,
611,"lettuce (shredded, to taste)","lettuce",,
612,"1  lime","limes",,
613,"1/2  lime (juiced)","limes",,
614,"1  lime (cut into 4 pieces)","limes",,
615,"1  lime (juiced)","limes",,
616,"1  lime (sliced into wedges)","limes",,
617,"1  lime (zested and juiced)","limes",,
618,"1  lime (sliced into 4 wedges)","limes",,
619,"lime (cut into wedges (optional))","limes",TRUE,
620,"1  lime (juiced and zested)","limes",,
621,"1 Tbsp lime juice","limes",,
622,"2 Tbsp lime juice","limes",,
623,"1 tsp lime juice","limes",,
624,"1 Tbsp lime juice ((about half a juicy lime))","limes",,
625,"lime juices (to taste)","limes",,
626,"lime slices","limes",,
627,"lime wedge","limes",,
628,"2  limes (juiced (about 1/4 cup juice))","limes",,
629,"mango","mangos",,
630,"1  mango (diced)","mangos",,
631,"mango and lime","mangos",,
632,"2  mangos","mangos",,
633,"2  mangos (diced)","mangos",,
634,"1 Tbsp mayo","mayonnaise",,
635,"1/4 cup mayonnaise","mayonnaise",,
636,"2 Tbsp mayonnaise","mayonnaise",,
637,"4 Tbsp mayonnaise","mayonnaise",,
638,"3 Tbsps mayonnaise","mayonnaise",,
639,"leftover meat, tofu, or beans","meat",,
640,"melon","melon",,
641,"2 cups melon (frozen)","melon",,
642,"1/2 gallon whole milk","milk",,
643,"1/2 cup milk","milk",,
644,"1 1/2 cups milk","milk",,
645,"1/4 cup milk","milk",,
646,"1/3 cup milk","milk",,
647,"1 cup milk","milk",,
648,"2 cups milk or coconut beverage or other non-dairy milk","milk",,
649,"1/4 cup + 1 Tbsp milk or water","milk",,
650,"milk or water (as needed)","milk",,
651,"2 Tbsp mint","mint",,
652,"1/4 cup  mint (chopped)","mint",,
653,"mint leaves","mint",,
654,"4 sprigs mint","mint",,
655,"1/4 cup  mint (finely chopped (optional))","mint",TRUE,
656,"1/4 cup molasses","molasses",,
657,"2 Tbsp molasses or brown sugar","molasses",,
658,"1 lb  mozzarella (shredded)","mozzarella",,
659,"6 oz  mozzarella (diced)","mozzarella",,
660," mozzarella (enough to cover the bottom of each bun to your taste)","mozzarella",,
661,"2 cups mozzarella cheese (grated)","mozzarella",,
662,"1 lb mushrooms (chopped)","mushrooms",,
663,"1/2  lb mushrooms (chopped)","mushrooms",,
664,"1/2 lb mushrooms (sliced)","mushrooms",,
665,"3 Tbsp mustard","mustard",,
666,"2 Tbsp mustard","mustard",,
667,"1 Tbsp mustard","mustard",,
668,"2 Tbsp mustard seeds","mustard seeds",,
669,"2 Tbsp neutral oil ((like vegetable or grapeseed))","neutral oil",,
670,"1/5th batch cooked noodles (make them here)","noodles",,
671,"12 to 16 oz noodles ((whatever size your package is))","noodles",,
672,"1/5th batch  cooked noodles (make them here)","noodles",,
673,"1/2 tsp nutmeg","nutmeg",,
674,"1/4 tsp nutmeg","nutmeg",,
675,"1/2 tsp nutmeg (freshly grated)","nutmeg",,
676,"1/4 tsp nutmeg ((ideally freshly ground))","nutmeg",,
677,"1 1/2 tsps nutmeg (freshly grated)","nutmeg",,
678,"1 tsp nutmeg ((optional))","nutmeg",TRUE,
679,"nuts","nuts",,
680,"1 1/2 cups oats","oats",,
681,"oil (for frying)","oil",,
682,"okra","okra",,
683,"1 Tbsp  olive oil","olive oil",,
684,"1 Tbsp olive oil","olive oil",,
685,"1 tsp olive oil","olive oil",,
686,"2 Tbsp olive oil","olive oil",,
687,"3 Tbsp olive oil","olive oil",,
688,"1  Tbsp olive oil","olive oil",,
689,"1/4 cup olive oil","olive oil",,
690,"1/3 - 1/2 cup olive oil","olive oil",,
691,"olive oil (to oil pan)","olive oil",,
692,"olive oil (to taste)","olive oil",,
693,"olive oil (for pan)","olive oil",,
694,"olive oil instead of butter","olive oil",,
695,"1  Tbsp olive oil or butter","olive oil",,
696,"olive oil or butter","olive oil",,
697,"olive oil or butter (for greasing tins)","olive oil",,
698,"1 Tbsp olive oil or vegetable oil","olive oil",,
699,"1 tsp olive or coconut oil","olive oil",,
700,"1 Tbsp olive or vegetable oil","olive oil",,
701,"olive or vegetable oil","olive oil",,
702,"1 cup olive or vegetable oil","olive oil",,
703,"olives","olives",,
704,"6  olives (finely chopped)","olives",,
705,"1  onion (chopped)","onions",,
706,"onion","onions",,
707,"1 medium onion (chopped)","onions",,
708,"1   large onion (sliced into half moons)","onions",,
709,"1 large onion (finely chopped)","onions",,
710,"1/2 cup onion (diced)","onions",,
711,"1 large onion (diced)","onions",,
712,"1 small onion (diced)","onions",,
713,"1 medium onion (diced)","onions",,
714,"1/2 cup onion (finely chopped)","onions",,
715,"1/2 medium onion (finely   diced)","onions",,
716,"2  onions (chopped)","onions",,
717,"onions","onions",,
718,"4 lb onions (any tu)","onions",,
719,"2 medium onions (diced)","onions",,
720,"orange","orange",,
721,"1 Tbsp orange zest (finely grated)","orange",,
722,"1 Tbsp orange zest ((zest of about 1 navel orange ))","orange",,
723,"1 Tbsp orange zest ((or one small orange worth))","orange",,
724,"1 Tbsp orange zest ((about 1 small orange worth))","orange",,
725,"1  navel orange (small to medium)","orange",,
726,"1/2 tsp oregano","oregano",,
727,"1/2 tsp dried oregano","oregano",,
728,"1 1/2 tsps oregano","oregano",,
729,"1 tsp oregano","oregano",,
730,"oregano","oregano",,
731,"papaya","papaya",,
732,"2 tsp paprika","paprika",,
733,"1 tsp paprika","paprika",,
734,"paprika","paprika",,
735,"1 tsp paprika (smoked)","paprika",,
736,"paprika ((optional))","paprika",TRUE,
737,"1/4 cup  parmesan or romano (very finely grated)","parmesan",,
738,"parmesan or romano (grated (to taste))","parmesan",,
739,"parmesan or romano (freshly grated)","parmesan",,
740," parsley (chopped)","parsley",,
741,"1/2 bunch parsley","parsley",,
742,"1/2 cup parsley (finely chopped)","parsley",,
743,"parsley or dill (chopped (optional for topping))","parsley",TRUE,
744,"parsnips","parsnips",,
745,"1/2 lb pasta ((rigatoni or similar))","pasta",,
746,"peach","peach",,
747,"peach and vanilla","peach",,
748,"1/2 cup natural peanut butter","peanut butter",,
749,"1/4 cup peanut butter","peanut butter",,
750,"1 tsp peanut butter","peanut butter",,
751,"2 Tbsp peanut butter","peanut butter",,
752,"1/2 cup peanut butter","peanut butter",,
753,"1/2 cup peanut butter ((natural  no sugar added))","peanut butter",,
754,"peanut sauce (make it!)","peanut sauce",,
755,"3 Tbsp peanuts","peanuts",,
756,"peanuts (chopped)","peanuts",,
757,"1/2 cup peanuts","peanuts",,
758,"1 Tbsp peanuts or cashews","peanuts",,
759,"peanuts (chopped (optional))","peanuts",TRUE,
760,"1 lb peanuts (shelled and peeled)","peanuts",,
761,"4  pears (pitted and cut into 8 pieces each)","pears",,
762,"1 lb peas (frozen or fresh)","peas",,
763,"peas or corn","peas",,
764,"1 tsp black pepper","pepper",,
765,"1/2 tsp black pepper","pepper",,
766,"black pepper (to taste)","pepper",,
767,"1/2 tsp pepper","pepper",,
768,"1 tsp pepper","pepper",,
769,"pepper (to taste)","pepper",,
770,"1/2 tsp pepper ((or to taste))","pepper",,
771,"2  Tbsp pickle juice,  lemon juice or water","pickle juice",,
772,"pickles (finely chopped)","pickles",,
773,"pickles (to taste)","pickles",,
774,"pineapple","pineapple",,
775,"pineapple and mint","pineapple",,
776,"1/2 cup pineapple (finely chopped and drained)","pineapple",,
777,"1 cup finely chopped pistachios","pistachios",,
778,"1/4 cup very finely chopped pistachios","pistachios",,
779,"1 recipe pizza dough (link to the recipe)","pizza dough",,
780,"1 cup plain yogurt","Yogurt",,
781,"1/2 cup plain yogurt","Yogurt",,
782,"2 cups yogurt or sour cream","Yogurt",,
783,"plum","plum",,
784,"1  poblano pepper","poblano pepper",,
785,"1  poblano pepper (seeds and stems removed and sliced into strips)","poblano pepper",,
786,"1/2 cup polenta or cornmeal","polenta",,
787,"1 cup popcorn","popcorn",,
788,"3/4 cup popcorn kernels","popcorn",,
789,"5 lb pork shoulder","pork shoulder",,
790,"1 1/2 lb pork shoulder or butt (cubed (instead of chicken))","pork shoulder",,
791,"1 small potato (diced)","potatoes",,
792,"1 large potato (pre-cooked,  chopped)","potatoes",,
793,"potato and pea","potatoes",,
794,"potatoes","potatoes",,
795,"2 lb potatoes","potatoes",,
796,"2 medium potatoes (chopped)","potatoes",,
797,"2 large potatoes (chopped)","potatoes",,
798,"1 lb small potatoes (I used honey gold but any smaller potatoes are fine)","potatoes",,
799,"potatoes and onion","potatoes",,
800,"3 small potatoes or 1 russet potato (sliced into thin circles)","potatoes",,
801,"5  russet potatoes (roughly cubed)","potatoes",,
802,"2-3 medium russet potatoes (sliced into sticks)","potatoes",,
803,"powdered sugar (for dusting the tops)","powdered sugar",,
804,"2 cups pumpkin or squash puree","pumpkin",,
805,"1/2 cup pumpkin puree","pumpkin",,
806,"raita (make the raita!)","raita",,
807,"1 bunch ramps","ramps",,
808,"2 - 3  dried red chiles","red chiles",,
809,"1 lb split red lentils ((the small ones that are fast cooking))","red lentils",,
810,"1 small or medium red onion (chopped)","red onion",,
811,"1/4 cup red onion (chopped)","red onion",,
812,"1  red onion (chopped)","red onion",,
813,"1/2  red onion (chopped)","red onion",,
814,"1  red onion (thinly sliced)","red onion",,
815,"1 small red onion (finely chopped)","red onion",,
816,"red onion or shallot ((optional))","red onion",TRUE,
817,"1/2  red pepper (finely chopped)","red pepper",,
818,"1/2 cup red wine","red wine",,
819,"red wine","red wine",,
820,"3/4 cup long grain rice","rice",,
821,"3 cups cooked rice","rice",,
822,"1/2 cup rice","rice",,
823,"1 cup rice","rice",,
824,"rice,  noodles or a wrap (or)","rice",,
825,"3/4 cup  rice or white vinegar","rice vinegar",,
826,"2 Tbsp rice or apple cider vinegar","rice vinegar",,
827,"1 Tbsp rice vinegar","rice vinegar",,
828,"1/4 cup rice wine vinegar","rice wine vinegar",,
829,"1 cup ricotta","ricotta cheese",,
830,"ricotta cheese instead of Romano","ricotta cheese",,
831,"1 cup rolled oats","rolled oats",,
832,"3 cups rolled oats ((or 2 cups oats and 1 cup crisp rice cereal))","rolled oats",,
833,"4  crusty french rolls","rolls",,
834,"2  rolls, english muffins or 4 slices of bread","rolls",,
835,"1 oz Romano","Romano",,
836,"Romano (finely grated, to taste)","Romano",,
837,"Romano (to taste)","Romano",,
838,"1/2 cup Romano cheese (finely grated)","Romano",,
839,"1/4 cup Romano or Parmesan","Romano",,
840,"1 Tbsp Romano or Parmesan (finely grated)","Romano",,
841,"1/2 cup Romano or Parmesan (finely grated)","Romano",,
842,"Romano or Parmesan (finely grated)","Romano",,
843,"1 Tbsp rosemary (finely chopped)","rosemary",,
844,"8  roti or flatbread (make the roti!)","roti",,
845,"6 leaves  sage (finely chopped (optional))","sage",TRUE,
846,"sage","sage",,
847,"1 to 2 oz  salami (thinly sliced)","salami",,
848,"2 fillets salmon (5 to 6 oz each)","salmon",,
849,"6  oz salmon fillet ((or 1 6 oz can of salmon))","salmon",,
850,"1/2 cup salsa","salsa",,
851,"salsa (to serve (optional))","salsa",TRUE,
852,"salsa (make your own!)","salsa",,
853,"1/2 tsp kosher salt","salt",,
854,"2 Tbsp kosher salt","salt",,
855,"6 Tbsp kosher salt","salt",,
856,"1 tsp kosher salt","salt",,
857,"1/2 cup kosher salt","salt",,
858,"kosher salt ((optional))","salt",TRUE,
859,"1 tsp salt","salt",,
860,"1 pinch salt","salt",,
861,"1/4-1/2 tsp salt","salt",,
862,"1/4 tsp salt","salt",,
863,"1 1/4 tsp salt","salt",,
864,"1/2 tsp salt","salt",,
865,"1 1/2 tsp salt","salt",,
866,"2 tsp salt","salt",,
867,"1 1/2 tsps salt","salt",,
868,"pinch salt","salt",,
869,"1/4  tsp salt","salt",,
870,"3 tsp salt","salt",,
871,"1/2-1 tsp salt","salt",,
872,"1/4 tsp  salt","salt",,
873,"salt","salt",,
874,"1/8 tsp salt","salt",,
875,"Salt and pepper","salt",,
876,"1/2 tsp Salt and pepper","salt",,
877,"Salt and pepper (to taste)","salt",,
878,"salt pepper (to taste)","salt",,
879,"salt (to taste)","salt",,
880,"salt (for finishing)","salt",,
881,"1   1/2 tsps salt ((or to taste))","salt",,
882,"salt (for pasta water)","salt",,
883,"1/2 tsp salt (and more to taste)","salt",,
884,"1/4 tsp salt ((or to taste))","salt",,
885,"1 tsp  sambal oelek or other chile paste","sambal oelek",,
886,"1 tsp sambal oelek ((chile paste))","sambal oelek",,
887,"1   sausage (casing removed)","sausage",,
888,"sausage (sliced and fried)","sausage",,
889,"1  scallion (chopped)","scallions",,
890,"1  scallion (finely chopped)","scallions",,
891,"4  scallions (chopped)","scallions",,
892,"2 Tbsp scallions (chopped)","scallions",,
893,"scallions (chopped)","scallions",,
894,"1/3 bunch scallions (chopped)","scallions",,
895,"1 bunch scallions (chopped)","scallions",,
896,"2 to 3  scallions (chopped)","scallions",,
897,"2  scallions (chopped)","scallions",,
898,"4 to 6  scallions (chopped)","scallions",,
899,"1-2  scallions (chopped (optional))","scallions",TRUE,
900,"4 to 5  scallions (finely chopped )","scallions",,
901,"scallions (finely chopped)","scallions",,
902,"3  scallions (finely chopped)","scallions",,
903,"4  scallions (finely chopped)","scallions",,
904,"2  scallions (finely chopped (optional))","scallions",TRUE,
905,"scallions (to taste)","scallions",,
906,"2  scallions (finely chopped)","scallions",,
907,"1/2 bunch scallions (finely chopped)","scallions",,
908,"4  scallions (cut into 1/2 pieces)","scallions",,
909,"1 bunch scallions (finely chopped)","scallions",,
910,"2 - 3  scallions (finely chopped)","scallions",,
911,"1 bunch scallions (ends cut off and gnarly bits discarded)","scallions",,
912,"scallions or cilantro (finely chopped (optional))","scallions",TRUE,
913,"1 liter seltzer","seltzer",,
914,"2 liters seltzer","seltzer",,
915,"1/4  cup seltzer","seltzer",,
916,"seltzer","seltzer",,
917,"1 tsp  toasted sesame oil","sesame oil",,
918,"1 tsp toasted sesame oil","sesame oil",,
919,"2 tsp toasted sesame oil","sesame oil",,
920,"1/2 tsp sesame oil ((optional))","sesame oil",TRUE,
921,"sesame seeds (to taste)","sesame seeds",,
922,"1  shallot (finely chopped (or equivalent amount of red onion))","shallots",,
923,"1  shallot (finely chopped)","shallots",,
924,"1  shallot ((or equivalent amount of onion)","shallots",,
925,"1/2  shallot or red onion (finely chopped)","shallots",,
926,"1  shallot or 3 scallions (finely chopped)","shallots",,
927,"2  shallots (finely sliced into half moons)","shallots",,
928,"1 lb shrimp (peeled and deveined (approximately 30 shrimp))","shrimp",,
929,"1 lb shrimp (peeled and deveined)","shrimp",,
930,"1 lb medium shrimp (frozen, uncooked, tail-on)","shrimp",,
931,"shrimp (cooked)","shrimp",,
932,"1  tsp Sichuan or regular peppercorns","Sichuan",,
933,"1 tsp smoked (paprika)","paprika",,
934,"2 tsp smoked paprika","paprika",,
935,"1 tsp smoked paprika","paprika",,
936,"4 tsp smoked paprika","paprika",,
937,"5 - 6 oz soba noodles ((or any Asian noodle you prefer))","soba noodles",,
938,"1/2 cup sour cream","sour cream",,
939,"1/4 cup sour cream","sour cream",,
940,"sour cream","sour cream",,
941,"1 Tbsp sour cream","sour cream",,
942,"sour cream (to taste)","sour cream",,
943,"sour cream or crema","sour cream",,
944,"1/4 cup sour cream or yogurt","sour cream",,
945,"1/2 tsp soy sauce","Tamari/Soy Sauce",,
946,"2 Tbsp soy sauce","Tamari/Soy Sauce",,
947,"2 Tbsp  soy sauce","Tamari/Soy Sauce",,
948,"1/4 cup soy sauce","Tamari/Soy Sauce",,
949,"1 Tbsp soy sauce","Tamari/Soy Sauce",,
950,"1 tsp soy sauce","Tamari/Soy Sauce",,
951,"4 Tbsps soy sauce","Tamari/Soy Sauce",,
952,"soy sauce (to cover)","Tamari/Soy Sauce",,
953,"1/4 cup soy sauce or tamari","Tamari/Soy Sauce",,
954,"1 lb spaghetti","spaghetti",,
955,"8 oz dried spaghetti, soba or any Asian noodles","spaghetti",,
956,"12 oz dried spaghetti, soba,  udon or other Asian noodles","spaghetti",,
957,"spice oil (make it!)","spice oil",,
958,"1 cup frozen spinach,  beet greens ,  chard or  parsley","spinach",,
959,"1/4 cup cooked spinach","spinach",,
960,"9 oz  spinach (roughly chopped (or substitute about 4 oz frozen))","spinach",,
961,"8 oz spinach (frozen (or 1 bunch of  chopped))","spinach",,
962,"4 cups  spinach (roughly chopped (or 1 cup frozen))","spinach",,
963,"6 cups mixed spring greens","spring greens",,
964,"2 Tbsp sriracha","sriracha",,
965,"1 tsp sriracha","sriracha",,
966,"1 Tbsp sriracha or sambal oelek","sriracha",,
967,"2  whole star anise","star anise",,
968,"1  star anise","star anise",,
969,"1 lb strawberries (chopped)","strawberries",,
970,"1 lb strawberries ( or frozen)","strawberries",,
971,"strawberry and basil","strawberries",,
972,"sugar","sugar",,
973,"2 Tbsp  sugar","sugar",,
974,"1 Tbsp sugar","sugar",,
975,"1/4 cup sugar","sugar",,
976,"1/3 cup sugar","sugar",,
977,"1 1/2 cups sugar","sugar",,
978,"2 Tbsp sugar","sugar",,
979,"1 cup sugar","sugar",,
980,"1 1/2 tsp sugar","sugar",,
981,"4 tsp sugar","sugar",,
982,"1 tsp sugar","sugar",,
983,"2 Tbsp white or brown sugar","sugar",,
984,"1 Tbsp white sugar","sugar",,
985,"1 1/2 cups sugar ((or sub 1 cup white and 1/2 cup brown ))","sugar",,
986,"sugar (to taste (optional))","sugar",TRUE,
987,"1 Tbsp sugar (for the topping)","sugar",,
988,"sunchokes","sunchokes",,
989,"3 tsp sweet paprika","paprika",,
990,"1 large sweet potato (peeled and diced)","sweet potatoes",,
991,"2 medium sweet potatoes","sweet potatoes",,
992,"4 large sweet potatoes","sweet potatoes",,
993,"sweet potatoes","sweet potatoes",,
994,"swiss chard or collards instead of cabbage","swiss chard",,
995,"1 Tbsp tahini","tahini",,
996,"1/2 tsp thyme","thyme",,
997," thyme","thyme",,
998,"1/2 tsp dried thyme","thyme",,
999,"thyme","thyme",,
1000,"2 fillets tilapia or other white fish","Tilapia",,
1001,"2  Tilapia fillets ((or any white fish you prefer))","Tilapia",,
1002,"12  or  16 oz extra firm tofu","tofu",,
1003,"1 block extra firm tofu","tofu",,
1004,"1 block firm tofu","tofu",,
1005,"1 14 oz block of firm tofu","tofu",,
1006,"16 oz firm tofu","tofu",,
1007,"8 oz firm tofu (crumbled)","tofu",,
1008,"tofu or any other meat in place of chicken","tofu",,
1009,"4 oz smoked tofu (cut into matchsticks)","tofu",,
1010,"chopped tomato","tomatoes",,
1011,"1/2 cup tomato (chopped)","tomatoes",,
1012,"1  tomato (chopped)","tomatoes",,
1013,"tomato","tomatoes",,
1014,"1  tomato (chopped )","tomatoes",,
1015,"1/4 cup tomato (chopped (or equivalent of tomato sauce))","tomatoes",,
1016,"1  tomato (sliced, to taste)","tomatoes",,
1017,"1 small tomato (chopped (canned or fresh))","tomatoes",,
1018,"1 cup canned tomatoes (chopped)","tomatoes",,
1019,"2 small tomatoes (chopped)","tomatoes",,
1020,"1 cup tomatoes (canned (pureed))","tomatoes",,
1021,"1 1/2 cups canned or  tomatoes (pureed)","tomatoes",,
1022,"16 oz tomatoes (pureed)","tomatoes",,
1023,"3 1/2 cups canned tomatoes (puréed or tomato sauce)","tomatoes",,
1024,"tomatoes (sliced)","tomatoes",,
1025,"2  cups canned tomatoes (finely diced or crushed)","tomatoes",,
1026,"1 cup tomatoes (chopped (canned or fresh))","tomatoes",,
1027,"1 cup canned tomatoes (puréed)","tomatoes",,
1028,"2 cups tomatoes (chopped ( or canned))","tomatoes",,
1029,"3 to 4 large tomatoes (canned or fresh) (cut into bite size pieces)","tomatoes",,
1030,"28 oz can canned tomatoes (crushed or diced)","tomatoes",,
1031,"2 large tomatoes ( chopped)","tomatoes",,
1032,"tortilla chips (to taste)","tortilla chips",,
1033,"1/4 cup tortilla chips (broken into small pieces)","tortilla chips",,
1034,"1 cup tortilla chips (roughly crushed)","tortilla chips",,
1035,"8  tortillas","tortillas",,
1036,"4  tortillas","tortillas",,
1037,"4 to 6  tortillas ((4 if large, 6 if small))","tortillas",,
1038,"4 small tortillas ((or 2 large))","tortillas",,
1039,"1 tso chile paste","tso chile paste",,
1040,"leftover turkey (shredded)","turkey",,
1041,"1 tsp turmeric","turmeric powder",,
1042,"1/2 tsp turmeric","turmeric powder",,
1043,"1 tsp turmeric ((optional))","turmeric powder",TRUE,
1044,"1 tsp turmeric powder","turmeric powder",,
1045,"1 tsp  turmeric powder","turmeric powder",,
1046,"turnips","turnips",,
1047,"1  vanilla bean","vanilla bean",,
1048,"1  vanilla bean (split and seeds scraped (or sub 2 tsp vanilla extract))","vanilla bean",,
1049,"1 tsp vanilla bean paste (or 1/2 vanilla bean, seeds scraped)","vanilla bean paste",,
1050,"1 tsp vanilla or lime juice ((optional))","vanilla extract",TRUE,
1051,"1 tsp vanilla","vanilla extract",,
1052,"1/2 tsp vanilla","vanilla extract",,
1053,"2 tsp vanilla","vanilla extract",,
1054,"1 tsp  vanilla","vanilla extract",,
1055,"1 tsp vanilla ((or sub pineapple juice or extract))","vanilla extract",,
1056,"1/2 tsp vanilla ((optional))","vanilla extract",TRUE,
1057,"1/2 tsp vanilla extract","vanilla extract",,
1058,"1 Tbsp vanilla extract","vanilla extract",,
1059,"1 tsp vanilla extract","vanilla extract",,
1060,"variety of other cheeses","cheese",,
1061,"3 to 4 cups vegetable broth","broth",,
1062,"1 1/2  cups vegetable broth","broth",,
1063,"3 cups vegetable broth (or 2 cups broth and 1 cup beer)","broth",,
1064,"1 - 2 cups vegetable broth or chicken broth or water with 1 Tbsp soy sauce","broth",,
1065,"3 cups vegetable broth or chicken stock","broth",,
1066,"4 1/2 cups vegetable or chicken stock","broth",,
1067,"1-2 Tbsp cooking oil or ghee","vegetable oil",,
1068,"2 Tbsp vegetable oil","vegetable oil",,
1069,"1/2 cup vegetable oil","vegetable oil",,
1070,"1 Tbsp vegetable oil","vegetable oil",,
1071,"1 tsp vegetable oil","vegetable oil",,
1072,"1 tsp vegetable oil (for cooking)","vegetable oil",,
1073,"2 Tbsp vegetable or olive oil","vegetable oil",,
1074,"3 - 4 cups chopped vegetables","vegetables",,
1075,"vegetables (chopped or kept whole in some cases)","vegetables",,
1076,"1 tsp vinegar","vinegar",,
1077,"3 Tbsp vinegar or lemon juice","vinegar",,
1078,"1 Tbsp vinegar (any type (optional))","vinegar",TRUE,
1079,"1 1/2 cups vodka or high proof grain alcohol","vodka",,
1080,"1/4 cup plus 1 Tbsp water","Water",,
1081,"1 cup warm water","Water",,
1082,"4 cups water","Water",,
1083,"2 cups water","Water",,
1084,"1/2 cup water","Water",,
1085,"3/4 cup water","Water",,
1086,"1 1/4 cups water","Water",,
1087,"1 tsp water","Water",,
1088,"2 Tbsp water","Water",,
1089,"6 cups water","Water",,
1090,"1 cup water","Water",,
1091,"1/4  cup +1 Tbsp water","Water",,
1092,"8 cups water","Water",,
1093,"8  cups water","Water",,
1094,"1 Tbsp water","Water",,
1095,"1/4 cup water","Water",,
1096,"3 cups water","Water",,
1097,"1/2 cup water ((cold))","Water",,
1098,"1 Tbsp water ((as needed))","Water",,
1099,"water (as needed)","Water",,
1100,"1/4 cup water (cold)","Water",,
1101,"1/4 cup whipping cream","whipping cream",,
1102,"1 cup whipping cream","whipping cream",,
1103,"1/2 cup whipping cream","whipping cream",,
1104,"1 3/4 cups white beans (drained (canned or cooked from dried))","white beans",,
1105,"4 fillets white fish ((halibut, mahi-mahi, tilapia, catfish, etc.)),","white fish",,
1106,"3 cups white kidney beans (drained)","white beans",,
1107,"2 cups white rice","white rice",,
1108,"6 cups white vinegar","white vinegar",,
1109,"2 cups whole wheat flour","flour",,
1110,"1 1/4 cups whole wheat flour","flour",,
1111,"2 1/2 cups whole wheat flour","flour",,
1112,"2 cups whole wheat or all purpose flour","flour",,
1113,"winter squash","winter squash",,
1114,"1 cup canned winter squash, pumpkin or sweet potato (puréed)","winter squash",,
1115,"1 tsp Worcestershire sauce or soy sauce","Worcestershire sauce",,
1116,"1/2 tsp Worcestershire sauce ((optional))","Worcestershire sauce",TRUE,
1117,"1 cup yogurt","Yogurt",,
1118,"1 Tbsp yogurt","Yogurt",,
1119,"yogurt","Yogurt",,
1120,"1/2 cup yogurt","Yogurt",,
1121,"1/4 cup yogurt (for topping)","Yogurt",,
1122,"your favorite condiments","Misc",,
1123,"2 medium zucchini","zucchini",,
1124,"zucchini","zucchini",,
1125,"3 to 4 medium zucchini or summer squash (cut into bit-size pieces)","zucchini",,
1126,"2 cups zucchini (grated)","zucchini",,
1127,"2 small zucchini (finely diced)","zucchini",,
1128,"#N/A","Asian noodles",,TRUE
1129,"leftover meat, tofu, or beans","beans",,TRUE
1130,"chicken pork or beef","beef",,TRUE
1131,"2  rolls, english muffins or 4 slices of bread","bread",,TRUE
1132,"1 1/2 cups butter beans, navy beans or cannelini beans","white beans",,TRUE
1133,"1 cup frozen spinach,  beet greens ,  chard or  parsley","chard",,TRUE
1134,"2  chicken breasts or thighs (chopped into bite-size pieces)","chicken",,TRUE
1135,"1-2 Tbsp cooking oil or ghee","oil",,TRUE
1136,"1 bunch lacinato or dinosaur kale","kale",,TRUE
1137,"1/2 cup cotija, queso blanco, feta, Parmesan or Romano (grated)","feta",,TRUE
1138,"1 cup beans or pulled pork or ground beef","ground beef",,TRUE
1139,"ground beef, turkey or pork instead of lentils and sausage","ground pork",,TRUE
1140,"2 cups milk or coconut beverage or other non-dairy milk","Non-dairy milk",,TRUE
1141,"1/2 cup brown rice","rice",,TRUE
1142,"1 - 2 cups vegetable broth or chicken broth or water with 1 Tbsp soy sauce","Tamari/Soy Sauce",,TRUE
1143,"3 cups collards, chard, spinach or scallions (finely chopped)","spinach",,TRUE
1144,"1 cup canned winter squash, pumpkin or sweet potato (puréed)","sweet potatoes",,TRUE
1145,"12 oz dried spaghetti, soba,  udon or other Asian noodles","udon",,TRUE
1146,"2 Tbsp  lemon juice, lime juice, or vinegar","vinegar",,TRUE
1147,"beef or chicken stock instead of water","Water",,TRUE
1148,"2  Tbsp pickle juice,  lemon juice or water","Water",,TRUE
1149,"1 1/2 cups all-purpose or whole wheat flour","flour",,TRUE
1150,"rice,  noodles or a wrap (or)","wrap",,TRUE
